Order,Ticker,Type,Discreet?,YearMonthDayUTC,Address,State,Zip,Zip4,Cars,Notes,UTC,Time_Date,Time,Month,Day,Year,Spaces,Population,Male_Population,Female_Population,Population_Density,5_Year_Projected_Population_Growth,Average_ Family_Size,Family_Households,Households,Age_Below_18,Age_18_Plus,Age_65_Plus,Associate_Degree,Bachelors_Degree,High_Schl_ Grad,PPHouseholds_1,PPHouseholds_2,MT2PPHousehold_2Plus,Per_Capita_Income,Median_Disposable_Household_Income,PCTWhitePop,PCTAIANPop,PCTAPop,PCTBPop,PCTHPIPop,PCTHisPop,PCTMultiracePop,PCTOtherRacePop,PCTMinority,PCTNo_Vehicle,PCT_1_Vehicle,PCT_2_Vehicles,PCTMore_2_Vehicles,PCTCivilian_Unemp,Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Category,PrePost,DOW,Shifted Month,WMT-Q,Week End,Unique Location,Unique Location & Year,Duplicate?,Year Repeat?,Same Store in Two Years?,Region,Sub Region,Create Year
130,CMG,CMG_1782,,12APR04191642,17250 Southcenter Parkway  Tukwila,WA,98188,,14,4/4/2012,,4/4/2012 12:16,12:16,4,4,2012,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,4,4,0,0,CMG_1782_12APR04,CMG17250 SOUTHCENTER PARKWAY  TUKWILAWA42012,0,0,0,West,Pacific,2012
303,CMG,CMG_1782,,12APR07183738,17250 Southcenter Parkway  Tukwila,WA,98188,,9,4/7/2012,,4/7/2012 11:37,11:37,4,7,2012,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,4,0,0,4,Post,7,4,0,1,CMG_1782_12APR07,CMG17250 SOUTHCENTER PARKWAY  TUKWILAWA42012,0,0,0,West,Pacific,2012
2478,CMG,CMG_1782,,12APR07183738,17250 Southcenter Parkway Renton,WA,98188,,11,4/7/2012,,4/7/2012 11:37,11:37,4,7,2012,20,22963,0.5207,0.4793,3008.53,0.0499,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,4,0,0,4,Post,7,4,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42012,0,0,0,West,Pacific,2013
2479,CMG,CMG_1782,,12APR21191652,17250 Southcenter Parkway Renton,WA,98188,,14,4/21/2012,,4/21/2012 12:16,12:16,4,21,2012,20,22963,0.5207,0.4793,3008.53,0.0499,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,7,4,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42012,0,0,0,West,Pacific,2013
1311,CMG,CMG_1782,,14APR13191318,17250 Southcenter Parkway Renton,WA,98188,,19,4/13/2014,,4/13/2014 12:13,12:13,4,13,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,1,4,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42014,0,0,0,West,Pacific,2014
1812,CMG,CMG_1782,,14APR13191318,17250 Southcenter Parkway Renton,WA,98188,,16,4/13/2014,,4/13/2014 12:13,12:13,4,13,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,1,4,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42014,0,0,0,West,Pacific,2015
1813,CMG,CMG_1782,,14APR18192415,17250 Southcenter Parkway Renton,WA,98188,,17,4/18/2014,,4/18/2014 12:24,12:24,4,18,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,6,4,0,0,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42014,0,0,0,West,Pacific,2015
1814,CMG,CMG_1782,,14APR26191251,17250 Southcenter Parkway Renton,WA,98188,,15,4/26/2014,,4/26/2014 12:12,12:12,4,26,2014,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,7,4,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42014,0,0,0,West,Pacific,2015
1815,CMG,CMG_1782,,15APR18191640,17250 Southcenter Parkway Renton,WA,98188,,14,4/18/2015,,4/18/2015 12:16,12:16,4,18,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,7,4,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42015,0,0,0,West,Pacific,2015
1816,CMG,CMG_1782,,15APR19190952,17250 Southcenter Parkway Renton,WA,98188,,14,4/19/2015,,4/19/2015 12:09,12:09,4,19,2015,20,22963,0.5207,0.4793,3008.53,0.049899999,3.14,5438,9684,0.2176,0.7824,0.1144,0.0965,0.1789,0.2878,0.3587,0.2906,0.3507,26470,44136,0.6176,0.0058,0.1428,0.107,0.0232,0.1617,0.0511,0.0525,0.3824,0.0627,0.4227,0.3307,0.1839,0.1045,0,0,0,0,5,0,5,Post,1,4,0,1,CMG17250 SOUTHCENTER PARKWAY RENTONWA4,CMG17250 SOUTHCENTER PARKWAY RENTONWA42015,0,0,0,West,Pacific,2015
